alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.2991506275321756,0.6964285714285714,0.8642857142857143,0.9214285714285714
0.1,0.26893572637013025,0.7285714285714285,0.875,0.9321428571428572
0.15000000000000002,0.24660431402070182,0.7428571428571429,0.8821428571428571,0.9321428571428572
0.2,0.23174634852579662,0.7535714285714286,0.9,0.9464285714285714
0.25,0.22651537188461848,0.7571428571428571,0.8821428571428571,0.9428571428571428
0.30000000000000004,0.22633928103106363,0.7357142857142858,0.8678571428571429,0.9178571428571428
0.35000000000000003,0.2286785385438374,0.7321428571428571,0.8535714285714285,0.925
0.4,0.23328419008425305,0.7428571428571429,0.8714285714285714,0.9285714285714286
0.45,0.23563291153737476,0.7642857142857142,0.8821428571428571,0.9214285714285714
0.5,0.24415902239935738,0.6892857142857143,0.8607142857142858,0.9142857142857143
