beta,cos_dist,top1_acc,top3_acc
0.0,0.22468029728957584,0.7785714285714286,0.9464285714285714
0.01,0.2290241547993251,0.7678571428571429,0.95
0.02,0.2371522911957332,0.7428571428571429,0.9285714285714286
0.03,0.24035979275192534,0.7714285714285715,0.9357142857142857
0.04,0.24638796555144446,0.7571428571428571,0.9464285714285714
0.05,0.25498066299727984,0.7571428571428571,0.9321428571428572
0.06,0.26332760900259017,0.7678571428571429,0.9428571428571428
0.07,0.27122048873986515,0.7428571428571429,0.9321428571428572
0.08,0.2801981656679085,0.7607142857142857,0.9321428571428572
0.09,0.29532503506967,0.6821428571428572,0.925
0.1,0.30601601802877015,0.7285714285714285,0.9285714285714286
