beta,cos_dist,top1_acc,top3_acc
0.0,0.22567562397037233,0.7392857142857143,0.9321428571428572
0.01,0.22834316875253405,0.7714285714285715,0.95
0.02,0.2334055862256459,0.7714285714285715,0.9642857142857143
0.03,0.23973942356450217,0.7714285714285715,0.9535714285714286
0.04,0.24600838571786882,0.7678571428571429,0.9535714285714286
0.05,0.25552879816719465,0.7464285714285714,0.9428571428571428
0.06,0.26323744612080713,0.7642857142857142,0.9535714285714286
0.07,0.27227864499603,0.7607142857142857,0.9357142857142857
0.08,0.2797958410211972,0.7821428571428571,0.9464285714285714
0.09,0.2907864545072828,0.7571428571428571,0.9321428571428572
0.1,0.3003059933228152,0.75,0.9357142857142857
