beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22514188481228692,0.75,0.8892857142857142,0.9428571428571428
0.01,0.2287057957478932,0.7678571428571429,0.8964285714285715,0.9464285714285714
0.02,0.23593797257968357,0.7464285714285714,0.9,0.9428571428571428
0.03,0.24110358921544892,0.7571428571428571,0.8857142857142857,0.9357142857142857
0.04,0.24505930085267338,0.7857142857142857,0.9178571428571428,0.9428571428571428
0.05,0.25551726551992554,0.775,0.8928571428571429,0.9464285714285714
0.06,0.26367590267743385,0.7571428571428571,0.8857142857142857,0.9428571428571428
0.07,0.2718506734286036,0.7678571428571429,0.9035714285714286,0.9464285714285714
0.08,0.2791904459042209,0.7785714285714286,0.8892857142857142,0.9285714285714286
0.09,0.29199373094098907,0.7071428571428572,0.8428571428571429,0.9214285714285714
0.1,0.3004586489072868,0.7392857142857143,0.8928571428571429,0.9357142857142857
