epoch,cos_dist,top1_acc,top5_acc
1,0.22284427533547083,0.10833333333333334,0.4583333333333333
2,0.11665058980385462,0.175,0.5416666666666666
3,0.09601271251837412,0.21666666666666667,0.625
4,0.09270033339659373,0.225,0.6333333333333333
5,0.09230226576328278,0.23333333333333334,0.625
6,0.09248498181502024,0.26666666666666666,0.5916666666666667
7,0.09247625917196274,0.25,0.5833333333333334
8,0.09246172159910201,0.25,0.5833333333333334
9,0.09243231018384297,0.25,0.6083333333333333
10,0.09226266344388326,0.23333333333333334,0.5916666666666667
