beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22499181032180787,0.7607142857142857,0.9,0.95
0.01,0.2287253880075046,0.7535714285714286,0.8964285714285715,0.9464285714285714
0.02,0.23534904037203108,0.7678571428571429,0.8964285714285715,0.9392857142857143
0.03,0.24071749778730528,0.7607142857142857,0.8964285714285715,0.9428571428571428
0.04,0.24547524728945325,0.7678571428571429,0.9142857142857143,0.9571428571428572
0.05,0.254186535520213,0.7785714285714286,0.9071428571428571,0.95
0.06,0.2607931022133146,0.7821428571428571,0.9071428571428571,0.9428571428571428
0.07,0.2727613597043923,0.725,0.9,0.9357142857142857
0.08,0.28209292569330763,0.775,0.8928571428571429,0.9428571428571428
0.09,0.29073701766984805,0.7428571428571429,0.8928571428571429,0.9214285714285714
0.1,0.301792147649186,0.7642857142857142,0.8714285714285714,0.9285714285714286
