epoch,cos_dist,top1_acc,top5_acc
1,0.2168759430448214,0.4583333333333333,0.8833333333333333
2,0.1280520016948382,0.675,0.9583333333333334
3,0.10630519141753515,0.725,0.975
4,0.10250996748606364,0.6666666666666666,0.9583333333333334
5,0.10206273843844732,0.6916666666666667,0.975
6,0.1022231787443161,0.6666666666666666,0.975
7,0.10261287291844685,0.675,0.975
8,0.1021923045317332,0.6833333333333333,0.9666666666666667
9,0.10196853230396906,0.7166666666666667,0.975
10,0.10207561353842418,0.6916666666666667,0.9583333333333334
