beta,cos_dist,top1_acc,top5_acc
0.0,0.15954222778479257,0.7083333333333334,0.9583333333333334
0.01,0.17727007965246835,0.7416666666666667,0.9333333333333333
0.02,0.2235049456357956,0.7333333333333333,0.925
0.03,0.3167047249774138,0.7666666666666667,0.925
0.04,0.44426653782526654,0.75,0.9416666666666667
0.05,0.5617141754676899,0.7583333333333333,0.9416666666666667
0.06,0.6390082152560354,0.7666666666666667,0.95
0.07,0.6811476521504422,0.7333333333333333,0.95
0.08,0.7072028540850928,0.7,0.95
0.09,0.7271852762904019,0.6416666666666667,0.95
0.1,0.7400707256126527,0.6333333333333333,0.9416666666666667
