context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.2049319197024618,0.7642857142857142,0.8607142857142858,0.9285714285714286
2,0.23194945922919682,0.7642857142857142,0.9178571428571428,0.9535714285714286
3,0.23131313685859953,0.7678571428571429,0.8892857142857142,0.9535714285714286
4,0.2321639122707503,0.75,0.8821428571428571,0.9357142857142857
5,0.22756835498980113,0.7535714285714286,0.8857142857142857,0.9392857142857143
6,0.22416353289570126,0.7428571428571429,0.8821428571428571,0.9357142857142857
7,0.22007391921111516,0.7714285714285715,0.8857142857142857,0.9357142857142857
8,0.215451959839889,0.7821428571428571,0.8928571428571429,0.9392857142857143
9,0.2142123343689101,0.75,0.8892857142857142,0.925
10,0.2126356371811458,0.7464285714285714,0.8892857142857142,0.9357142857142857
