alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.29923778655273575,0.6964285714285714,0.8642857142857143,0.9214285714285714
0.1,0.2690897083708218,0.7285714285714285,0.8785714285714286,0.9321428571428572
0.15000000000000002,0.24690075601850237,0.7428571428571429,0.8892857142857142,0.9285714285714286
0.2,0.2330722757748195,0.7535714285714286,0.8892857142857142,0.9392857142857143
0.25,0.22414095252752303,0.7607142857142857,0.9107142857142857,0.9535714285714286
0.30000000000000004,0.22308867446013858,0.775,0.8928571428571429,0.9321428571428572
0.35000000000000003,0.22837034655468805,0.7464285714285714,0.8642857142857143,0.925
0.4,0.23426867223211698,0.7035714285714286,0.8678571428571429,0.925
0.45,0.24332984664610455,0.6785714285714286,0.825,0.9035714285714286
0.5,0.24817499039428575,0.6571428571428571,0.8321428571428572,0.9107142857142857
