context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.2059931339962142,0.7464285714285714,0.8571428571428571,0.9321428571428572
2,0.2318918234535626,0.775,0.9107142857142857,0.95
3,0.23272233328648975,0.7607142857142857,0.8892857142857142,0.9428571428571428
4,0.23144389050347464,0.7535714285714286,0.875,0.9357142857142857
5,0.2282871405993189,0.7464285714285714,0.8857142857142857,0.9357142857142857
6,0.22269491127559116,0.7535714285714286,0.8821428571428571,0.9357142857142857
7,0.22086322499173028,0.7392857142857143,0.8928571428571429,0.9357142857142857
8,0.2151833285178457,0.7678571428571429,0.8857142857142857,0.925
9,0.21376338324376515,0.75,0.8857142857142857,0.9428571428571428
10,0.21207495161465237,0.7535714285714286,0.8821428571428571,0.9392857142857143
