beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22695593855210713,0.7357142857142858,0.875,0.9357142857142857
0.01,0.22876696437597274,0.7714285714285715,0.8964285714285715,0.9392857142857143
0.02,0.2337944650224277,0.7571428571428571,0.9035714285714286,0.95
0.03,0.23891860534037862,0.7714285714285715,0.9,0.9392857142857143
0.04,0.248674021341971,0.7785714285714286,0.9035714285714286,0.9464285714285714
0.05,0.2548506813389914,0.7464285714285714,0.875,0.95
0.06,0.2607967118067401,0.7642857142857142,0.8964285714285715,0.95
0.07,0.27277364432811735,0.7535714285714286,0.8821428571428571,0.9428571428571428
0.08,0.27819167929036276,0.75,0.8928571428571429,0.9392857142857143
0.09,0.28962967449000904,0.75,0.9,0.9464285714285714
0.1,0.3026051993880953,0.775,0.8892857142857142,0.9321428571428572
