epoch,cos_dist,top1_acc,top5_acc
1,0.3419229390720526,0.65,0.9583333333333334
2,0.3165461510419846,0.6833333333333333,0.9666666666666667
3,0.30407180363933245,0.7166666666666667,0.975
4,0.30343800485134126,0.7,0.9833333333333333
5,0.30981169690688454,0.7083333333333334,0.9416666666666667
6,0.3118816403051217,0.7,0.925
7,0.3172163374722004,0.7583333333333333,0.95
8,0.3219034778575102,0.675,0.9333333333333333
9,0.3238827645778656,0.7166666666666667,0.9416666666666667
10,0.3299800547460715,0.6583333333333333,0.925
