epoch,cos_dist,top1_acc,top5_acc
1,0.34654683073361714,0.725,0.95
2,0.3236243704954783,0.7166666666666667,0.9333333333333333
3,0.31580654059847196,0.7333333333333333,0.925
4,0.3167047249774138,0.7666666666666667,0.925
5,0.3209445685148239,0.7583333333333333,0.9083333333333333
6,0.3270712139705817,0.75,0.9083333333333333
7,0.3333299236992995,0.7416666666666667,0.9083333333333333
8,0.33914352854092916,0.725,0.9166666666666666
9,0.34480107923348746,0.725,0.9083333333333333
10,0.3485363684594631,0.7333333333333333,0.9083333333333333
