context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.2056301601231098,0.7464285714285714,0.8785714285714286,0.9321428571428572
2,0.230414936372212,0.7535714285714286,0.9214285714285714,0.9607142857142857
3,0.23227490463427136,0.75,0.9,0.95
4,0.23153678285224097,0.75,0.8785714285714286,0.9392857142857143
5,0.23005554590906416,0.7535714285714286,0.8714285714285714,0.9285714285714286
6,0.22292300036975315,0.7392857142857143,0.8785714285714286,0.9285714285714286
7,0.22012674297605242,0.75,0.8892857142857142,0.9392857142857143
8,0.21575707218476703,0.775,0.8928571428571429,0.9392857142857143
9,0.2130426681467465,0.7642857142857142,0.8892857142857142,0.9321428571428572
10,0.21327982523611613,0.7464285714285714,0.8892857142857142,0.9285714285714286
