beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.223195852126394,0.7678571428571429,0.8964285714285715,0.9392857142857143
0.01,0.22886347621679307,0.7571428571428571,0.9071428571428571,0.9607142857142857
0.02,0.2339526118976729,0.7678571428571429,0.9071428571428571,0.9428571428571428
0.03,0.2398834303021431,0.7571428571428571,0.8928571428571429,0.9571428571428572
0.04,0.24550011988197054,0.7678571428571429,0.9142857142857143,0.95
0.05,0.25452697415437014,0.7678571428571429,0.9107142857142857,0.95
0.06,0.26035512409039907,0.7714285714285715,0.9035714285714286,0.9464285714285714
0.07,0.27105012855359484,0.725,0.8785714285714286,0.9464285714285714
0.08,0.2803888078246798,0.7821428571428571,0.8821428571428571,0.9428571428571428
0.09,0.28938877774136407,0.7785714285714286,0.8964285714285715,0.9464285714285714
0.1,0.30395788582307953,0.7571428571428571,0.8857142857142857,0.9357142857142857
