context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.2054609573313168,0.7357142857142858,0.8571428571428571,0.9321428571428572
2,0.2312070372913565,0.7642857142857142,0.9178571428571428,0.9571428571428572
3,0.2313349602477891,0.7428571428571429,0.8928571428571429,0.9392857142857143
4,0.2320543342403003,0.7571428571428571,0.8785714285714286,0.9392857142857143
5,0.228998940544469,0.7607142857142857,0.8964285714285715,0.9357142857142857
6,0.2252679535320827,0.7571428571428571,0.8857142857142857,0.9285714285714286
7,0.22047643427337918,0.75,0.8857142857142857,0.9392857142857143
8,0.21678198043789182,0.7714285714285715,0.8964285714285715,0.9357142857142857
9,0.2129714997751372,0.7678571428571429,0.8964285714285715,0.9392857142857143
10,0.21226164315428053,0.7464285714285714,0.875,0.9285714285714286
