alpha,cos_dist,top1_acc,top3_acc
0.0,0.365951995658023,0.5892857142857143,0.8642857142857143
0.05,0.3190491073897907,0.6392857142857142,0.8857142857142857
0.1,0.27615710230810303,0.7,0.9178571428571428
0.15000000000000002,0.2421769439109734,0.7357142857142858,0.9214285714285714
0.2,0.2174524745770863,0.775,0.9285714285714286
0.25,0.20020315732274738,0.7821428571428571,0.9321428571428572
0.30000000000000004,0.19160853581769124,0.7892857142857143,0.9392857142857143
0.35000000000000003,0.19093231558799745,0.7642857142857142,0.925
0.4,0.1925566362483161,0.7607142857142857,0.9178571428571428
0.45,0.19833909038986478,0.7142857142857143,0.9142857142857143
0.5,0.20074240075690405,0.7392857142857143,0.8821428571428571
