alpha,cos_dist,top1_acc,top3_acc
0.0,0.365951995658023,0.5892857142857143,0.8642857142857143
0.05,0.319135291661535,0.6392857142857142,0.8857142857142857
0.1,0.2764811780835901,0.7035714285714286,0.9142857142857143
0.15000000000000002,0.24217817740780967,0.7357142857142858,0.925
0.2,0.21781746936695917,0.7678571428571429,0.9285714285714286
0.25,0.20070233515330724,0.7964285714285714,0.95
0.30000000000000004,0.19194382556847164,0.775,0.9357142857142857
0.35000000000000003,0.19050617069005965,0.7785714285714286,0.925
0.4,0.18969265307698932,0.7571428571428571,0.9071428571428571
0.45,0.19707697417054856,0.7464285714285714,0.8964285714285715
0.5,0.20078221282788686,0.6892857142857143,0.8857142857142857
