beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22492117690188543,0.7571428571428571,0.9,0.9571428571428572
0.01,0.23206820679562432,0.7571428571428571,0.8821428571428571,0.9428571428571428
0.02,0.23479534643036978,0.7642857142857142,0.9142857142857143,0.9571428571428572
0.03,0.2410600824015481,0.7678571428571429,0.8964285714285715,0.9392857142857143
0.04,0.24537772919450487,0.775,0.9214285714285714,0.95
0.05,0.2539520698998656,0.7785714285714286,0.9142857142857143,0.9571428571428572
0.06,0.2602693494941507,0.7892857142857143,0.9035714285714286,0.95
0.07,0.2717180071132524,0.7857142857142857,0.9035714285714286,0.9357142857142857
0.08,0.2804475411772728,0.7642857142857142,0.9,0.95
0.09,0.2908991949898856,0.7642857142857142,0.9035714285714286,0.9571428571428572
0.1,0.300136377875294,0.7607142857142857,0.9107142857142857,0.9428571428571428
