alpha,cos_dist,top1_acc,top3_acc
0.0,0.19827810440744673,0.7892857142857143,0.9142857142857143
0.05,0.3190916096525533,0.6392857142857142,0.8857142857142857
0.1,0.2764357093189444,0.7,0.9178571428571428
0.15000000000000002,0.24105117650968688,0.7571428571428571,0.9285714285714286
0.2,0.21686745222125733,0.7892857142857143,0.9357142857142857
0.25,0.20087065483842578,0.7714285714285715,0.9321428571428572
0.30000000000000004,0.1952217363885471,0.7714285714285715,0.925
0.35000000000000003,0.18983451511178698,0.775,0.9178571428571428
0.4,0.1899905351655824,0.7821428571428571,0.9178571428571428
0.45,0.1993708623307092,0.6785714285714286,0.9107142857142857
0.5,0.20155949826751438,0.7035714285714286,0.8857142857142857
