beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22409165842192513,0.7678571428571429,0.9178571428571428,0.95
0.01,0.23096377636705126,0.7392857142857143,0.8821428571428571,0.9428571428571428
0.02,0.23440287432500295,0.7714285714285715,0.9071428571428571,0.9357142857142857
0.03,0.24037498384714126,0.7607142857142857,0.9107142857142857,0.9428571428571428
0.04,0.2479942019496645,0.75,0.8857142857142857,0.9428571428571428
0.05,0.25541295249547274,0.7571428571428571,0.9071428571428571,0.95
0.06,0.2637766730572496,0.7535714285714286,0.8821428571428571,0.9392857142857143
0.07,0.27444156972425326,0.75,0.8714285714285714,0.9428571428571428
0.08,0.28055633125560625,0.7785714285714286,0.9142857142857143,0.9464285714285714
0.09,0.2901663120303835,0.7821428571428571,0.8928571428571429,0.9392857142857143
0.1,0.30163318206157,0.75,0.8857142857142857,0.9321428571428572
