context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.2065927192568779,0.7642857142857142,0.8571428571428571,0.9321428571428572
2,0.23053056044237955,0.7535714285714286,0.925,0.95
3,0.23178951208080564,0.7464285714285714,0.9107142857142857,0.95
4,0.23058010275874818,0.7642857142857142,0.8857142857142857,0.9428571428571428
5,0.2288081867354257,0.7607142857142857,0.8857142857142857,0.9392857142857143
6,0.22315488117081778,0.7428571428571429,0.8892857142857142,0.9321428571428572
7,0.21884684711694719,0.775,0.8892857142857142,0.9357142857142857
8,0.21615057438611984,0.775,0.8821428571428571,0.9392857142857143
9,0.21333862649542945,0.7535714285714286,0.8928571428571429,0.9321428571428572
10,0.21234945889030185,0.75,0.8928571428571429,0.9285714285714286
