context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20539461693593433,0.7392857142857143,0.8571428571428571,0.925
2,0.22943309875471252,0.7571428571428571,0.9071428571428571,0.9607142857142857
3,0.23309909275599888,0.7535714285714286,0.9,0.9571428571428572
4,0.23235121497086117,0.7428571428571429,0.8821428571428571,0.9357142857142857
5,0.22910331104482923,0.7392857142857143,0.8857142857142857,0.925
6,0.22277645255838122,0.75,0.9,0.9321428571428572
7,0.22016813158988952,0.75,0.8785714285714286,0.9321428571428572
8,0.21559219104903085,0.7821428571428571,0.8964285714285715,0.9357142857142857
9,0.21365048310586385,0.7535714285714286,0.8821428571428571,0.9357142857142857
10,0.21208441981247494,0.7357142857142858,0.8892857142857142,0.925
