context,cos_dist,top1_acc,top3_acc
1,0.20517265775374005,0.7392857142857143,0.9321428571428572
2,0.23046991750597953,0.7571428571428571,0.9571428571428572
3,0.23343469266380582,0.7392857142857143,0.9428571428571428
4,0.23178380408457347,0.7571428571428571,0.9392857142857143
5,0.22845457813569478,0.7535714285714286,0.9214285714285714
6,0.224332662991115,0.7357142857142858,0.9285714285714286
7,0.2190766888005393,0.7714285714285715,0.9321428571428572
8,0.21777055795703615,0.7678571428571429,0.925
9,0.2139115197317941,0.7321428571428571,0.9392857142857143
10,0.21172212830611636,0.7535714285714286,0.9428571428571428
