context,cos_dist,top1_acc,top3_acc
1,0.20596187072140829,0.7571428571428571,0.925
2,0.23110841406243188,0.7535714285714286,0.9571428571428572
3,0.23216508265052524,0.7464285714285714,0.95
4,0.23132812678813935,0.7428571428571429,0.9428571428571428
5,0.2294342626418386,0.75,0.9357142857142857
6,0.2242252807532038,0.7535714285714286,0.9285714285714286
7,0.21981298540319716,0.7678571428571429,0.9392857142857143
8,0.21581899864333018,0.775,0.9357142857142857
9,0.2143134395991053,0.7392857142857143,0.9285714285714286
10,0.2120294668844768,0.7392857142857143,0.9357142857142857
