context,cos_dist,top1_acc,top3_acc
1,0.20542713052460126,0.7464285714285714,0.9357142857142857
2,0.23178831030215535,0.7464285714285714,0.9607142857142857
3,0.23258856534957886,0.7535714285714286,0.9535714285714286
4,0.23162359212126052,0.7642857142857142,0.9428571428571428
5,0.2293192220585687,0.7428571428571429,0.9214285714285714
6,0.2234174947653498,0.7607142857142857,0.9357142857142857
7,0.21958331487008503,0.7535714285714286,0.9392857142857143
8,0.21651507318019866,0.7642857142857142,0.9321428571428572
9,0.21223378224032266,0.7535714285714286,0.9392857142857143
10,0.21174180337360926,0.7714285714285715,0.9357142857142857
