alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.2991396807134151,0.6964285714285714,0.8642857142857143,0.9214285714285714
0.1,0.2688445093376296,0.7285714285714285,0.875,0.925
0.15000000000000002,0.24713540077209473,0.7392857142857143,0.8928571428571429,0.9357142857142857
0.2,0.232552641417299,0.7392857142857143,0.9035714285714286,0.9428571428571428
0.25,0.22481402967657363,0.7571428571428571,0.9107142857142857,0.9535714285714286
0.30000000000000004,0.22231298089027404,0.7392857142857143,0.875,0.9357142857142857
0.35000000000000003,0.22665962683303015,0.7678571428571429,0.8785714285714286,0.9392857142857143
0.4,0.2304334193468094,0.7607142857142857,0.875,0.9071428571428571
0.45,0.23800404827509608,0.6892857142857143,0.8535714285714285,0.9142857142857143
0.5,0.24374616827283588,0.6714285714285714,0.8321428571428572,0.8964285714285715
