context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20426140118922506,0.7642857142857142,0.8607142857142858,0.9357142857142857
2,0.230519036842244,0.7607142857142857,0.9178571428571428,0.9607142857142857
3,0.23255832280431474,0.7642857142857142,0.8821428571428571,0.9428571428571428
4,0.23143593668937684,0.75,0.8785714285714286,0.9285714285714286
5,0.22736589993749345,0.75,0.875,0.9357142857142857
6,0.22530979705708368,0.7571428571428571,0.8892857142857142,0.9321428571428572
7,0.22119579826082503,0.7642857142857142,0.8964285714285715,0.9428571428571428
8,0.2175958827137947,0.7678571428571429,0.8857142857142857,0.9321428571428572
9,0.21344881504774094,0.7607142857142857,0.8821428571428571,0.9357142857142857
10,0.21212405072791235,0.7392857142857143,0.8821428571428571,0.9357142857142857
