beta,cos_dist,top1_acc,top3_acc
0.0,0.22564172191279275,0.7571428571428571,0.9392857142857143
0.01,0.22973094838006156,0.7571428571428571,0.9428571428571428
0.02,0.23467349431344442,0.7714285714285715,0.9428571428571428
0.03,0.2415143078991345,0.7785714285714286,0.9428571428571428
0.04,0.24854525657636778,0.7678571428571429,0.9571428571428572
0.05,0.252151713094541,0.7678571428571429,0.9571428571428572
0.06,0.2630119795245784,0.7785714285714286,0.9464285714285714
0.07,0.27197947033814024,0.7642857142857142,0.9392857142857143
0.08,0.27908280992082185,0.7607142857142857,0.9642857142857143
0.09,0.29510058111378124,0.7178571428571429,0.9535714285714286
0.1,0.2995656930974552,0.775,0.9392857142857143
