beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22620409961257662,0.7571428571428571,0.8928571428571429,0.9357142857142857
0.01,0.2293913613472666,0.7535714285714286,0.8857142857142857,0.9464285714285714
0.02,0.23558501069034848,0.7535714285714286,0.8964285714285715,0.9464285714285714
0.03,0.23862055870039123,0.75,0.9142857142857143,0.9464285714285714
0.04,0.24758067524858884,0.7678571428571429,0.9,0.9535714285714286
0.05,0.25277666981731145,0.7785714285714286,0.9142857142857143,0.9357142857142857
0.06,0.26242789125868254,0.7678571428571429,0.8892857142857142,0.95
0.07,0.2736815976245063,0.7357142857142858,0.8892857142857142,0.9321428571428572
0.08,0.28183480980140824,0.7321428571428571,0.8678571428571429,0.9214285714285714
0.09,0.28975314210568154,0.7821428571428571,0.875,0.9321428571428572
0.1,0.3023891304220472,0.7642857142857142,0.8821428571428571,0.9321428571428572
