context,cos_dist,top1_acc,top3_acc
1,0.20537783141647067,0.7392857142857143,0.9285714285714286
2,0.2310128626014505,0.7571428571428571,0.9607142857142857
3,0.23053853724684034,0.7535714285714286,0.95
4,0.23201069001640592,0.7571428571428571,0.9357142857142857
5,0.2293043045060975,0.7392857142857143,0.9214285714285714
6,0.22300151607819965,0.7535714285714286,0.9357142857142857
7,0.21993099983249392,0.7642857142857142,0.9392857142857143
8,0.216447057894298,0.7678571428571429,0.9321428571428572
9,0.21385525592735835,0.7392857142857143,0.9321428571428572
10,0.21196204509053912,0.7607142857142857,0.9357142857142857
