alpha,cos_dist,top1_acc,top3_acc
0.0,0.19646300758634294,0.7857142857142857,0.9392857142857143
0.05,0.319087751103299,0.6392857142857142,0.8857142857142857
0.1,0.2764058319585664,0.7071428571428572,0.9107142857142857
0.15000000000000002,0.2414581193455628,0.7535714285714286,0.925
0.2,0.21586968175002508,0.7785714285714286,0.9392857142857143
0.25,0.20133588186332158,0.7785714285714286,0.9321428571428572
0.30000000000000004,0.19419136494398118,0.7464285714285714,0.9285714285714286
0.35000000000000003,0.19139950296708516,0.7571428571428571,0.9392857142857143
0.4,0.19180651030370166,0.75,0.9142857142857143
0.45,0.1921089598110744,0.7607142857142857,0.9214285714285714
0.5,0.19753773808479308,0.7392857142857143,0.9
