epoch,cos_dist,top1_acc,top5_acc
1,0.22971721092859904,0.49166666666666664,0.8666666666666667
2,0.1389641558130582,0.6833333333333333,0.9416666666666667
3,0.11729329178730646,0.7,0.9583333333333334
4,0.11388451009988784,0.7,0.9583333333333334
5,0.11375701526800791,0.675,0.9583333333333334
6,0.11398166666428249,0.6666666666666666,0.9416666666666667
7,0.11413719455401103,0.6666666666666666,0.9416666666666667
8,0.11421722223361333,0.6666666666666666,0.9416666666666667
9,0.11425489634275436,0.6666666666666666,0.9416666666666667
10,0.1142720361550649,0.6666666666666666,0.9416666666666667
