epoch,cos_dist,top1_acc,top5_acc
1,0.17426923861106236,0.7,0.9666666666666667
2,0.1638334035873413,0.7333333333333333,0.9666666666666667
3,0.16273212283849717,0.7083333333333334,0.95
4,0.1630595828096072,0.6916666666666667,0.95
5,0.16352076480786007,0.7,0.9416666666666667
6,0.16388221929470698,0.7,0.9416666666666667
7,0.1641312435269356,0.7,0.9416666666666667
8,0.16429556806882223,0.6916666666666667,0.9416666666666667
9,0.16440257728099822,0.6916666666666667,0.9416666666666667
10,0.16447217563788097,0.6916666666666667,0.9416666666666667
