context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20622872412204743,0.7571428571428571,0.8607142857142858,0.9285714285714286
2,0.2304198016013418,0.7571428571428571,0.925,0.9571428571428572
3,0.23328494812761033,0.7571428571428571,0.8928571428571429,0.9428571428571428
4,0.23208066735948835,0.7535714285714286,0.8678571428571429,0.9285714285714286
5,0.22881671424422945,0.7571428571428571,0.875,0.9285714285714286
6,0.2234057407294001,0.7428571428571429,0.8892857142857142,0.9285714285714286
7,0.22146055442946297,0.7535714285714286,0.8785714285714286,0.9321428571428572
8,0.21657456904649736,0.775,0.8892857142857142,0.9357142857142857
9,0.21396611503192356,0.7464285714285714,0.8964285714285715,0.9428571428571428
10,0.21188719336475645,0.7428571428571429,0.8821428571428571,0.9321428571428572
