beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22695210927299092,0.775,0.8892857142857142,0.9321428571428572
0.01,0.2285638466477394,0.775,0.8964285714285715,0.9428571428571428
0.02,0.23647138071911675,0.7607142857142857,0.8964285714285715,0.9464285714285714
0.03,0.23885476301823344,0.7821428571428571,0.9107142857142857,0.95
0.04,0.245974621708904,0.7714285714285715,0.8892857142857142,0.9428571428571428
0.05,0.2523963543985571,0.7928571428571428,0.9035714285714286,0.9464285714285714
0.06,0.26125177474958555,0.75,0.9178571428571428,0.9464285714285714
0.07,0.2715445765427181,0.7678571428571429,0.8678571428571429,0.9142857142857143
0.08,0.28079257437161037,0.7571428571428571,0.9035714285714286,0.9464285714285714
0.09,0.28838523189936366,0.7714285714285715,0.925,0.9607142857142857
0.1,0.30121451765298846,0.775,0.9107142857142857,0.9535714285714286
