context,cos_dist,top1_acc,top3_acc
1,0.20481191192354475,0.75,0.9357142857142857
2,0.2312070695417268,0.75,0.9535714285714286
3,0.2311468726822308,0.7571428571428571,0.9535714285714286
4,0.2306346880538123,0.7678571428571429,0.9464285714285714
5,0.2281549917800086,0.7535714285714286,0.9392857142857143
6,0.2250857800245285,0.75,0.9285714285714286
7,0.2197956587587084,0.7464285714285714,0.9392857142857143
8,0.2152962529233524,0.775,0.9392857142857143
9,0.2144329154065677,0.7428571428571429,0.925
10,0.212315400157656,0.7428571428571429,0.9285714285714286
