alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.2991309898240226,0.6964285714285714,0.8642857142857143,0.9214285714285714
0.1,0.2688750822629247,0.7321428571428571,0.8785714285714286,0.925
0.15000000000000002,0.2460258579679898,0.75,0.8857142857142857,0.9285714285714286
0.2,0.23105535145316805,0.7535714285714286,0.9071428571428571,0.95
0.25,0.2249045893549919,0.7678571428571429,0.8928571428571429,0.9392857142857143
0.30000000000000004,0.22303863167762755,0.7571428571428571,0.8964285714285715,0.9464285714285714
0.35000000000000003,0.23032824609960828,0.7464285714285714,0.8607142857142858,0.9285714285714286
0.4,0.23269796914287977,0.7321428571428571,0.8642857142857143,0.925
0.45,0.23907300648944718,0.7035714285714286,0.8214285714285714,0.8928571428571429
0.5,0.24024345810924258,0.7214285714285714,0.8535714285714285,0.9178571428571428
