alpha,cos_dist,top1_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.9107142857142857
0.05,0.29918041516627586,0.7,0.9214285714285714
0.1,0.26909696119172233,0.7285714285714285,0.9321428571428572
0.15000000000000002,0.24667970538139344,0.7357142857142858,0.9285714285714286
0.2,0.23243865157876695,0.7535714285714286,0.9464285714285714
0.25,0.22486371610845837,0.7535714285714286,0.95
0.30000000000000004,0.2250048164810453,0.7678571428571429,0.9357142857142857
0.35000000000000003,0.2268257437007768,0.7464285714285714,0.9214285714285714
0.4,0.23421691421951565,0.7428571428571429,0.9321428571428572
0.45,0.24561297350696154,0.6892857142857143,0.8892857142857142
0.5,0.24549987965396472,0.6785714285714286,0.9107142857142857
