epoch,cos_dist,top1_acc,top5_acc
1,0.2170065025488536,0.6333333333333333,0.975
2,0.1774788538614909,0.675,0.9666666666666668
3,0.17289572358131408,0.675,0.9666666666666668
4,0.17400228728850686,0.6416666666666667,0.975
5,0.17358178148667014,0.6416666666666667,0.975
6,0.17482315798600515,0.6333333333333333,0.975
7,0.17571373134851456,0.625,0.975
8,0.17544303288062413,0.6083333333333333,0.975
9,0.17558052092790605,0.6416666666666667,0.975
10,0.17512182046969732,0.6416666666666667,0.975
11,0.17569773346185685,0.6416666666666667,0.975
12,0.17626052449146906,0.6083333333333333,0.9666666666666668
13,0.17669447859128315,0.6166666666666667,0.975
14,0.1763534148534139,0.6583333333333333,0.975
15,0.17603887369235358,0.6166666666666667,0.975
16,0.17575702021519346,0.6166666666666667,0.975
17,0.17523613274097444,0.65,0.975
18,0.17544408291578292,0.625,0.975
19,0.1750028947989146,0.6166666666666667,0.975
20,0.17514725079139076,0.65,0.975
21,0.17632862627506254,0.6583333333333333,0.975
22,0.17582154621680576,0.6416666666666667,0.975
23,0.1748587131500244,0.6333333333333333,0.975
24,0.1750053917368253,0.625,0.975
25,0.17581261694431305,0.6333333333333333,0.975
26,0.17539787242809932,0.6416666666666667,0.975
27,0.17503484884897869,0.65,0.975
28,0.1753889411687851,0.6166666666666667,0.975
29,0.1749514768520991,0.6583333333333333,0.975
30,0.17576561470826466,0.6333333333333333,0.975
31,0.17595778057972591,0.6583333333333333,0.975
32,0.17529513786236445,0.6666666666666666,0.975
33,0.17533101687828698,0.6333333333333333,0.975
34,0.17547514885663987,0.6583333333333333,0.975
35,0.1750650291641553,0.6333333333333333,0.975
36,0.17489794542392095,0.625,0.975
37,0.17501217226187388,0.6333333333333333,0.975
38,0.1748275672396024,0.65,0.975
39,0.17492193082968396,0.6583333333333333,0.9666666666666668
40,0.1755698045094808,0.65,0.975
41,0.17520338048537573,0.6583333333333333,0.975
42,0.17502584060033166,0.65,0.975
43,0.1752769852677981,0.6166666666666667,0.975
44,0.17530770748853686,0.6583333333333333,0.975
45,0.17545047650734585,0.6583333333333333,0.975
46,0.17528658906618755,0.6583333333333333,0.975
47,0.1744638755917549,0.6583333333333333,0.975
48,0.17451679110527038,0.6416666666666667,0.975
49,0.1756635054945946,0.6333333333333333,0.975
50,0.17567072212696075,0.65,0.975
