epoch,cos_dist,top1_acc,top5_acc
0,0.4238085130850474,0.31666666666666665,0.7166666666666667
1,0.2340651676058769,0.5,0.8666666666666667
2,0.15373442620038985,0.675,0.95
3,0.13527341087659198,0.6833333333333333,0.9416666666666668
4,0.13239506234725315,0.6833333333333333,0.95
5,0.13212530314922333,0.7,0.9416666666666668
6,0.13259938557942708,0.7,0.9416666666666668
7,0.1327834462126096,0.7,0.9333333333333332
8,0.13265536824862162,0.6916666666666667,0.9416666666666668
9,0.1321592316031456,0.7,0.9416666666666668
10,0.13295412609974544,0.6916666666666667,0.95
