epoch,cos_dist,top1_acc,top5_acc
0,0.4035839286943277,0.4583333333333333,0.8083333333333333
1,0.23059823364019394,0.5333333333333333,0.925
2,0.16316693822542827,0.675,0.975
3,0.1502527877688408,0.7083333333333334,0.9416666666666668
4,0.14973523368438085,0.7166666666666667,0.9333333333333332
5,0.15064695825179414,0.7166666666666667,0.9416666666666668
6,0.1512822871406873,0.7083333333333334,0.9416666666666668
7,0.15160995870828628,0.7,0.9333333333333332
8,0.15176437894503275,0.7,0.9333333333333332
9,0.15183468212683995,0.6916666666666667,0.9333333333333332
10,0.15186625321706135,0.6916666666666667,0.9333333333333332
