epoch,cos_dist,top1_acc,top5_acc
1,0.2196387896935145,0.5,0.925
2,0.13712104161580405,0.6583333333333333,0.95
3,0.11815499315659204,0.65,0.9583333333333334
4,0.11532440235217413,0.7083333333333334,0.9583333333333334
5,0.11530230045318605,0.7,0.9583333333333334
6,0.1155427540342013,0.7,0.95
7,0.11569916854302087,0.6916666666666667,0.95
8,0.11577838460604348,0.675,0.95
9,0.11581547011931738,0.675,0.95
10,0.11583228955666225,0.675,0.95
11,0.11583983699480692,0.675,0.95
12,0.1158431922396024,0.675,0.95
13,0.11584469924370447,0.675,0.95
14,0.1158453439672788,0.675,0.95
15,0.11584564397732415,0.675,0.95
16,0.11584578752517698,0.675,0.95
17,0.11584583967924117,0.675,0.95
18,0.11584586749474207,0.675,0.95
19,0.1158458744486173,0.675,0.95
20,0.11584588587284088,0.675,0.95
21,0.11584589332342148,0.675,0.95
22,0.1158458948135376,0.675,0.95
23,0.11584589580694835,0.675,0.95
24,0.11584589233001072,0.675,0.95
25,0.11584589233001072,0.675,0.95
26,0.11584589233001072,0.675,0.95
27,0.11584589233001072,0.675,0.95
28,0.11584589233001072,0.675,0.95
29,0.11584589233001072,0.675,0.95
30,0.11584589233001072,0.675,0.95
31,0.11584589233001072,0.675,0.95
32,0.11584589233001072,0.675,0.95
33,0.11584589233001072,0.675,0.95
34,0.11584589233001072,0.675,0.95
35,0.11584589233001072,0.675,0.95
36,0.11584589233001072,0.675,0.95
37,0.11584589233001072,0.675,0.95
38,0.11584589233001072,0.675,0.95
39,0.11584589233001072,0.675,0.95
40,0.11584589233001072,0.675,0.95
41,0.11584589233001072,0.675,0.95
42,0.11584589233001072,0.675,0.95
43,0.11584589233001072,0.675,0.95
44,0.11584589233001072,0.675,0.95
45,0.11584589233001072,0.675,0.95
46,0.11584589233001072,0.675,0.95
47,0.11584589233001072,0.675,0.95
48,0.11584589233001072,0.675,0.95
49,0.11584589233001072,0.675,0.95
50,0.11584589233001072,0.675,0.95
