epoch,cos_dist,top1_acc,top5_acc
1,0.3519873097538948,0.65,0.9916666666666668
2,0.3137349906067053,0.625,0.9583333333333334
3,0.2899375557899475,0.675,0.9916666666666668
4,0.2748205383618673,0.675,0.975
5,0.2697941422462463,0.7166666666666667,0.9916666666666668
6,0.26758666982253393,0.6833333333333333,0.975
7,0.26479055484135944,0.7,0.9833333333333332
8,0.2686032960812251,0.6833333333333333,0.9666666666666668
9,0.27075461149215696,0.6666666666666666,0.975
10,0.27092193414767585,0.7083333333333334,0.9833333333333332
11,0.27245800296465555,0.725,0.9666666666666668
12,0.27414415826400124,0.6833333333333333,0.975
13,0.27553773125012715,0.6666666666666666,0.9333333333333332
14,0.27762549569209416,0.6666666666666666,0.9666666666666668
15,0.2767631987730662,0.7166666666666667,0.9916666666666668
16,0.2808310553431511,0.6083333333333333,0.925
17,0.28024479299783706,0.6666666666666666,0.975
18,0.2797575091322263,0.725,0.9666666666666668
19,0.2795536165436109,0.6583333333333333,0.9833333333333332
20,0.281277759373188,0.675,0.95
21,0.28089647044738136,0.6583333333333333,0.9666666666666668
22,0.2820384894808133,0.6166666666666667,0.975
23,0.2820145005981127,0.6166666666666667,0.975
24,0.2808121959368388,0.6333333333333333,0.9666666666666668
25,0.2808842753370603,0.65,0.975
26,0.2821512038509051,0.6166666666666667,0.9583333333333334
27,0.28164030611515045,0.6583333333333333,0.9666666666666668
28,0.2825886045893033,0.6916666666666667,0.9666666666666668
29,0.2835029850403468,0.6166666666666667,0.95
30,0.28062536070744204,0.6916666666666667,0.9833333333333332
31,0.2820376381278038,0.675,0.975
32,0.2831506868203481,0.6333333333333333,0.9583333333333334
33,0.2820964728792508,0.7,0.9583333333333334
34,0.27916801621516546,0.6666666666666666,0.975
35,0.2807771027088165,0.7416666666666667,0.9583333333333334
36,0.2789232268929481,0.675,0.9666666666666668
37,0.2806424140930176,0.675,0.9583333333333334
38,0.2817382310827573,0.6916666666666667,0.975
39,0.28027454018592834,0.6083333333333333,0.975
40,0.2804767906665802,0.725,0.9583333333333334
41,0.2818807403246561,0.6833333333333333,0.9666666666666668
42,0.28339733928441996,0.625,0.95
43,0.28255149175723393,0.6583333333333333,0.975
44,0.2811474452416102,0.6833333333333333,0.9666666666666668
45,0.2812950432300568,0.625,0.975
46,0.2802358676989873,0.6916666666666667,0.9583333333333334
47,0.2829379220803579,0.6916666666666667,0.95
48,0.2819472203652064,0.725,0.975
49,0.28399826337893797,0.6166666666666667,0.9666666666666668
50,0.2833977604905764,0.6666666666666666,0.9666666666666668
