epoch,cos_dist,top1_acc,top5_acc
0,0.5520740407208602,0.06666666666666668,0.2333333333333333
1,0.19974244783322015,0.08333333333333333,0.2916666666666667
2,0.08198468685150148,0.15833333333333333,0.44166666666666665
3,0.05818854371706645,0.20833333333333331,0.525
4,0.0536454364657402,0.2,0.5333333333333333
5,0.05273970762888591,0.2,0.525
6,0.05254645744959514,0.20833333333333331,0.525
7,0.05250084698200226,0.21666666666666667,0.5166666666666667
8,0.05248842885096868,0.20833333333333331,0.5166666666666667
9,0.05248444527387619,0.20833333333333331,0.5166666666666667
10,0.05248296558856965,0.20833333333333331,0.5166666666666667
