epoch,cos_dist,top1_acc,top5_acc
1,0.3372764512896538,0.6416666666666667,0.95
2,0.3083539438744386,0.7166666666666667,0.9583333333333334
3,0.2938890459636847,0.6916666666666667,0.9583333333333334
4,0.28898768896857896,0.7083333333333334,0.9666666666666668
5,0.2874346723159154,0.6916666666666667,0.95
6,0.29193934202194216,0.6833333333333333,0.9333333333333332
7,0.2941121441622575,0.7666666666666667,0.9416666666666668
8,0.2979602684577306,0.7166666666666667,0.95
9,0.3009818298121293,0.725,0.9583333333333334
10,0.3044799807171027,0.7416666666666667,0.95
11,0.30907242198785145,0.7083333333333334,0.9416666666666668
12,0.30876009836792945,0.725,0.9666666666666668
13,0.3100847398241361,0.6916666666666667,0.9416666666666668
14,0.3114473976194859,0.725,0.9583333333333334
15,0.31382348462939264,0.7416666666666667,0.9333333333333332
16,0.316777598609527,0.725,0.9416666666666668
17,0.3164675816893577,0.6916666666666667,0.9416666666666668
18,0.31675562833746274,0.7,0.9583333333333334
19,0.3195578299462795,0.6833333333333333,0.925
20,0.3198003781338533,0.675,0.95
21,0.31895197679599124,0.625,0.95
22,0.31982253392537435,0.7,0.95
23,0.3193026011188825,0.7,0.9416666666666668
24,0.32088841299215953,0.6333333333333333,0.95
25,0.3191761714716753,0.65,0.9416666666666668
26,0.31922820409139,0.6916666666666667,0.9333333333333332
27,0.3212647830446561,0.7,0.9333333333333332
28,0.3196119725704193,0.7083333333333334,0.9416666666666668
29,0.32114521116018296,0.7083333333333334,0.9416666666666668
30,0.3205875647564729,0.7083333333333334,0.9416666666666668
31,0.32048989782730736,0.6833333333333333,0.9416666666666668
32,0.32054989139238993,0.625,0.9583333333333334
33,0.3196332360307376,0.7083333333333334,0.9416666666666668
34,0.32122555673122405,0.6833333333333333,0.95
35,0.32148916547497114,0.675,0.925
36,0.3209460511803627,0.675,0.925
37,0.3195045433938503,0.7083333333333334,0.95
38,0.32165667538841564,0.6166666666666667,0.9333333333333332
39,0.3201508810122808,0.6833333333333333,0.95
40,0.3211342041691144,0.6666666666666666,0.9416666666666668
41,0.3200731339553992,0.6916666666666667,0.9583333333333334
42,0.3200268199046453,0.7166666666666667,0.9583333333333334
43,0.32238373110691704,0.7083333333333334,0.9333333333333332
44,0.32164306864142417,0.6583333333333333,0.9416666666666668
45,0.3214883255461852,0.6416666666666667,0.9333333333333332
46,0.3247020746270816,0.6333333333333333,0.9416666666666668
47,0.3230823323130608,0.675,0.9333333333333332
48,0.32119287475943564,0.6583333333333333,0.95
49,0.3201920196413994,0.7,0.9416666666666668
50,0.3224532457689444,0.7,0.9416666666666668
