epoch,cos_dist,top1_acc,top5_acc
1,0.3556020736694336,0.6666666666666666,0.9666666666666668
2,0.3227491900324821,0.5833333333333334,0.9583333333333334
3,0.3050617078940074,0.5916666666666667,0.9583333333333334
4,0.2972555247445901,0.625,0.925
5,0.2945718983809153,0.6083333333333333,0.9166666666666666
6,0.29435074031353003,0.6083333333333333,0.9166666666666666
7,0.2956455168624719,0.6,0.9
8,0.29894972071051595,0.6,0.9
9,0.3019081053634485,0.5916666666666667,0.9
10,0.30459990178545315,0.5916666666666667,0.8916666666666667
11,0.3072615367670854,0.5916666666666667,0.8916666666666667
12,0.3093948282301426,0.6,0.9
13,0.31167522991696994,0.5833333333333334,0.8916666666666667
14,0.31229563256104786,0.6166666666666667,0.9
15,0.3140941555301348,0.5666666666666667,0.8916666666666667
16,0.3147421985864639,0.575,0.9
17,0.3159360006451607,0.575,0.9
18,0.31672450626889864,0.5833333333333334,0.8916666666666667
19,0.31808901131153106,0.5583333333333333,0.8833333333333333
20,0.3178063936531544,0.5833333333333334,0.8833333333333333
21,0.31843706543246897,0.5666666666666667,0.8916666666666667
22,0.3196714654564857,0.575,0.8833333333333333
23,0.3196896063784758,0.6,0.875
24,0.3197182389597098,0.5666666666666667,0.8916666666666667
25,0.31969182267785073,0.575,0.8833333333333333
26,0.3200861948231856,0.55,0.875
27,0.31948481251796085,0.5833333333333334,0.8916666666666667
28,0.32024139563242593,0.5666666666666667,0.8833333333333333
29,0.3202517536779245,0.5666666666666667,0.8833333333333333
30,0.3209330298006535,0.5583333333333333,0.8833333333333333
31,0.3211747204264005,0.575,0.8833333333333333
32,0.3208924914399783,0.575,0.875
33,0.3204950667917729,0.55,0.8833333333333333
34,0.3208029615382353,0.5666666666666667,0.875
35,0.32009411652882896,0.5666666666666667,0.8833333333333333
36,0.3204093168179194,0.5583333333333333,0.8916666666666667
37,0.3211375993986925,0.5666666666666667,0.8833333333333333
38,0.3208982711037,0.5666666666666667,0.875
39,0.32078700413306555,0.5666666666666667,0.8833333333333333
40,0.3205621177951495,0.55,0.8833333333333333
41,0.3209707349538803,0.5666666666666667,0.8833333333333333
42,0.3208440661430359,0.5666666666666667,0.8833333333333333
43,0.3208960262437662,0.575,0.8916666666666667
44,0.3208652618030707,0.575,0.8833333333333333
45,0.3207909474770228,0.575,0.875
46,0.3208012623091539,0.575,0.8833333333333333
47,0.3208751231431961,0.5666666666666667,0.9
48,0.3209961906075477,0.5666666666666667,0.8916666666666667
49,0.3214303307235241,0.5416666666666666,0.875
50,0.3208259964982669,0.5833333333333334,0.8916666666666667
