epoch,cos_dist,top1_acc,top5_acc
0,0.4231121515234311,0.25833333333333336,0.675
1,0.21628082940975826,0.4666666666666667,0.8833333333333333
2,0.12779576083024344,0.6583333333333333,0.9583333333333334
3,0.10673279215892156,0.7,0.9666666666666668
4,0.10325056264797848,0.6916666666666667,0.9583333333333334
5,0.1030056893825531,0.6666666666666666,0.9583333333333334
6,0.1031609316666921,0.6583333333333333,0.9666666666666668
7,0.1032822385430336,0.65,0.9583333333333334
8,0.10334640045960744,0.65,0.9583333333333334
9,0.10337691257397334,0.65,0.9583333333333334
10,0.10339084764321643,0.65,0.9583333333333334
