epoch,cos_dist,top1_acc,top5_acc
1,0.3450315438210964,0.6583333333333333,0.9333333333333332
2,0.3135644445816676,0.7333333333333333,0.9833333333333332
3,0.30087294975916545,0.7666666666666667,0.9666666666666668
4,0.2979344164331754,0.725,0.9416666666666668
5,0.2973452573021253,0.725,0.925
6,0.3011873466273149,0.7333333333333333,0.9416666666666668
7,0.3044807014365991,0.725,0.9416666666666668
8,0.3099668497840564,0.7166666666666667,0.95
9,0.31112000346183777,0.6833333333333333,0.9583333333333334
10,0.3150849588215351,0.7083333333333334,0.9416666666666668
11,0.31844058111310003,0.6916666666666667,0.9333333333333332
12,0.31991621082027755,0.7333333333333333,0.9333333333333332
13,0.32340434739987056,0.725,0.9333333333333332
14,0.32385461901625,0.725,0.9416666666666668
15,0.3255255276958148,0.7083333333333334,0.9416666666666668
16,0.3272055727740129,0.75,0.9416666666666668
17,0.3288786761462689,0.725,0.925
18,0.3293604522943497,0.7083333333333334,0.9333333333333332
19,0.3315471629301707,0.7166666666666667,0.9333333333333332
20,0.32952361007531483,0.725,0.95
21,0.33321372593442605,0.7166666666666667,0.925
22,0.3324904421965281,0.6666666666666666,0.95
23,0.3345418776075045,0.6916666666666667,0.9333333333333332
24,0.3332564160227776,0.7416666666666667,0.9416666666666668
25,0.3359988935291767,0.6833333333333333,0.925
26,0.3366405653456847,0.6916666666666667,0.9333333333333332
27,0.33642069771885874,0.675,0.9416666666666668
28,0.3350143258770307,0.7083333333333334,0.9416666666666668
29,0.3366954930126667,0.6583333333333333,0.9333333333333332
30,0.335106360912323,0.7333333333333333,0.9416666666666668
31,0.33396424452463785,0.7333333333333333,0.9416666666666668
32,0.33742947975794474,0.7,0.9333333333333332
33,0.334576361378034,0.7166666666666667,0.9416666666666668
34,0.3372716317574183,0.725,0.9333333333333332
35,0.336575698107481,0.6833333333333333,0.925
36,0.33736886978149416,0.7,0.9333333333333332
37,0.33779273356000583,0.6916666666666667,0.925
38,0.3384000246723493,0.6916666666666667,0.9166666666666666
39,0.334427456309398,0.7333333333333333,0.95
40,0.3379543527960777,0.7333333333333333,0.925
41,0.3363853223621845,0.7,0.95
42,0.33544120863080024,0.7416666666666667,0.9416666666666668
43,0.3359169766306877,0.6833333333333333,0.95
44,0.3350234506030877,0.7,0.95
45,0.3365186758339405,0.6916666666666667,0.9416666666666668
46,0.33746264427900313,0.625,0.9333333333333332
47,0.3341573658088843,0.7083333333333334,0.95
48,0.335347872475783,0.7416666666666667,0.9416666666666668
49,0.33562929580609,0.6583333333333333,0.925
50,0.3346034412582715,0.7166666666666667,0.95
