epoch,cos_dist,top1_acc,top5_acc
1,0.2345101535320282,0.4916666666666666,0.8666666666666667
2,0.15403312494357427,0.6416666666666667,0.95
3,0.13564550379912058,0.675,0.9333333333333332
4,0.13311432699362438,0.6833333333333333,0.9416666666666668
5,0.1332432116071383,0.6833333333333333,0.9333333333333332
6,0.13355480382839838,0.6833333333333333,0.9333333333333332
7,0.13374360154072445,0.675,0.9333333333333332
8,0.13383735964695612,0.6833333333333333,0.9333333333333332
9,0.13388094355662666,0.675,0.9333333333333332
10,0.13390067617098492,0.675,0.9333333333333332
11,0.13390949368476868,0.675,0.9333333333333332
12,0.1339134434858958,0.675,0.9333333333333332
13,0.1339151735107104,0.675,0.9333333333333332
14,0.13391595880190532,0.675,0.9333333333333332
15,0.13391628513733547,0.675,0.9333333333333332
16,0.13391645352045695,0.675,0.9333333333333332
17,0.13391651560862858,0.675,0.9333333333333332
18,0.13391655335823696,0.675,0.9333333333333332
19,0.13391656031211216,0.675,0.9333333333333332
20,0.13391657570997875,0.675,0.9333333333333332
21,0.1339165767033895,0.675,0.9333333333333332
22,0.13391657471656798,0.675,0.9333333333333332
23,0.1339165742198626,0.675,0.9333333333333332
24,0.1339165742198626,0.675,0.9333333333333332
25,0.1339165742198626,0.675,0.9333333333333332
26,0.1339165742198626,0.675,0.9333333333333332
27,0.1339165742198626,0.675,0.9333333333333332
28,0.1339165742198626,0.675,0.9333333333333332
29,0.1339165742198626,0.675,0.9333333333333332
30,0.1339165742198626,0.675,0.9333333333333332
31,0.1339165742198626,0.675,0.9333333333333332
32,0.1339165742198626,0.675,0.9333333333333332
33,0.1339165742198626,0.675,0.9333333333333332
34,0.1339165742198626,0.675,0.9333333333333332
35,0.1339165742198626,0.675,0.9333333333333332
36,0.1339165742198626,0.675,0.9333333333333332
37,0.1339165742198626,0.675,0.9333333333333332
38,0.1339165742198626,0.675,0.9333333333333332
39,0.1339165742198626,0.675,0.9333333333333332
40,0.1339165742198626,0.675,0.9333333333333332
41,0.1339165742198626,0.675,0.9333333333333332
42,0.1339165742198626,0.675,0.9333333333333332
43,0.1339165742198626,0.675,0.9333333333333332
44,0.1339165742198626,0.675,0.9333333333333332
45,0.1339165742198626,0.675,0.9333333333333332
46,0.1339165742198626,0.675,0.9333333333333332
47,0.1339165742198626,0.675,0.9333333333333332
48,0.1339165742198626,0.675,0.9333333333333332
49,0.1339165742198626,0.675,0.9333333333333332
50,0.1339165742198626,0.675,0.9333333333333332
