context,cos_dist,top1_acc,top3_acc
1,0.2060497708618641,0.7535714285714286,0.9357142857142857
2,0.2307889960706234,0.75,0.9571428571428572
3,0.23333825192281177,0.7607142857142857,0.9428571428571428
4,0.23128569658313478,0.7571428571428571,0.9428571428571428
5,0.22760798462799617,0.7571428571428571,0.9321428571428572
6,0.22424551695585251,0.7428571428571429,0.925
7,0.22037070393562316,0.7571428571428571,0.9357142857142857
8,0.21594856871025903,0.775,0.9321428571428572
9,0.21250952077763421,0.7535714285714286,0.9392857142857143
10,0.21225416575159345,0.7535714285714286,0.9321428571428572
