alpha,cos_dist,top1_acc,top5_acc
0.05,0.20833018571138381,0.6,0.9666666666666667
0.1,0.16173734764258066,0.7083333333333334,0.9583333333333334
0.15000000000000002,0.15954222778479257,0.7083333333333334,0.9583333333333334
0.2,0.1617025340596835,0.725,0.95
0.25,0.16369230747222902,0.7,0.9416666666666667
0.3,0.16571043133735658,0.675,0.9416666666666667
0.35000000000000003,0.16804601152737936,0.6666666666666666,0.9416666666666667
0.4,0.17082862208286922,0.6583333333333333,0.9583333333333334
0.45,0.174113430082798,0.625,0.95
0.5,0.17792642911275228,0.5833333333333334,0.95
