context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20676444641181402,0.7535714285714286,0.8678571428571429,0.9321428571428572
2,0.2301352886216981,0.7392857142857143,0.9142857142857143,0.9571428571428572
3,0.23251378131764275,0.7535714285714286,0.9,0.95
4,0.230434587597847,0.75,0.8821428571428571,0.9357142857142857
5,0.22822606286832264,0.7678571428571429,0.8821428571428571,0.925
6,0.22335747884852544,0.7392857142857143,0.8964285714285715,0.9285714285714286
7,0.22060600497892924,0.775,0.8964285714285715,0.9357142857142857
8,0.21540772914886475,0.7892857142857143,0.8892857142857142,0.9357142857142857
9,0.2136724129319191,0.75,0.8928571428571429,0.9321428571428572
10,0.21240980135543006,0.7357142857142858,0.8857142857142857,0.9392857142857143
