beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22384631953069142,0.7821428571428571,0.9,0.9357142857142857
0.01,0.22838534883090428,0.7607142857142857,0.8892857142857142,0.95
0.02,0.2347676768898964,0.7428571428571429,0.9,0.9571428571428572
0.03,0.2395703013454165,0.7821428571428571,0.8964285714285715,0.9428571428571428
0.04,0.24650621126805033,0.7857142857142857,0.9142857142857143,0.9428571428571428
0.05,0.2541298086089747,0.7857142857142857,0.8928571428571429,0.9214285714285714
0.06,0.2609705441764423,0.775,0.8892857142857142,0.9357142857142857
0.07,0.27154195553490096,0.7464285714285714,0.8928571428571429,0.95
0.08,0.28219877438885826,0.7392857142857143,0.8892857142857142,0.9357142857142857
0.09,0.2914038931684835,0.7392857142857143,0.8928571428571429,0.9178571428571428
0.1,0.3031390399805137,0.7178571428571429,0.8821428571428571,0.9321428571428572
