context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20610922064099993,0.75,0.8678571428571429,0.9321428571428572
2,0.23101332081215722,0.7607142857142857,0.9142857142857143,0.9535714285714286
3,0.23226659212793624,0.7535714285714286,0.8964285714285715,0.9392857142857143
4,0.23148063123226165,0.75,0.8857142857142857,0.9428571428571428
5,0.22922015807458332,0.7535714285714286,0.8857142857142857,0.9321428571428572
6,0.223078467803342,0.7678571428571429,0.8857142857142857,0.925
7,0.2188091857092721,0.775,0.9,0.9357142857142857
8,0.21630379451172693,0.7678571428571429,0.8892857142857142,0.9321428571428572
9,0.21389505181993756,0.7535714285714286,0.8785714285714286,0.9357142857142857
10,0.21110840631382807,0.7392857142857143,0.8892857142857142,0.9428571428571428
