epoch,cos_dist,top1_acc,top5_acc
1,0.19736443907022477,0.09166666666666666,0.30833333333333335
2,0.08215407182772955,0.175,0.5333333333333333
3,0.05965544581413269,0.2,0.5916666666666667
4,0.055961389342943826,0.20833333333333334,0.5416666666666666
5,0.05536100765069326,0.20833333333333334,0.5666666666666667
6,0.05569940706094106,0.2,0.5583333333333333
7,0.055341578026612596,0.225,0.55
8,0.05514142612616221,0.20833333333333334,0.5583333333333333
9,0.05530957033236821,0.225,0.5666666666666667
10,0.055448699990908304,0.225,0.5666666666666667
