alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.29911258050373624,0.6928571428571428,0.8642857142857143,0.9214285714285714
0.1,0.2690785799707685,0.7285714285714285,0.875,0.9321428571428572
0.15000000000000002,0.24655359110661915,0.7428571428571429,0.8892857142857142,0.9321428571428572
0.2,0.23180028072425296,0.7428571428571429,0.8928571428571429,0.95
0.25,0.22584048339298793,0.7821428571428571,0.8964285714285715,0.9464285714285714
0.30000000000000004,0.22544525201831545,0.7785714285714286,0.8857142857142857,0.9392857142857143
0.35000000000000003,0.22754944222314016,0.7321428571428571,0.8821428571428571,0.9178571428571428
0.4,0.22898172991616386,0.7178571428571429,0.8678571428571429,0.9285714285714286
0.45,0.2417404455798013,0.6928571428571428,0.8285714285714286,0.8892857142857142
0.5,0.2436042290713106,0.7142857142857143,0.8392857142857143,0.9
