context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20638650740895953,0.7571428571428571,0.8607142857142858,0.9285714285714286
2,0.2306600471692426,0.75,0.9214285714285714,0.9535714285714286
3,0.23351441621780394,0.7464285714285714,0.8964285714285715,0.9428571428571428
4,0.23116171572889602,0.7714285714285715,0.8928571428571429,0.9392857142857143
5,0.22828927146536962,0.7571428571428571,0.8892857142857142,0.9285714285714286
6,0.22385744963373458,0.7535714285714286,0.8928571428571429,0.9285714285714286
7,0.22090191266366413,0.7535714285714286,0.8964285714285715,0.9428571428571428
8,0.2164432766182082,0.7857142857142857,0.8892857142857142,0.9285714285714286
9,0.21365879795381001,0.7392857142857143,0.8821428571428571,0.9285714285714286
10,0.21154302316052573,0.7464285714285714,0.8857142857142857,0.9392857142857143
