context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20562542315040316,0.7535714285714286,0.8642857142857143,0.9285714285714286
2,0.2305949253695352,0.7607142857142857,0.9035714285714286,0.9571428571428572
3,0.2323374411889485,0.7464285714285714,0.8892857142857142,0.9464285714285714
4,0.2309563887970788,0.7642857142857142,0.8928571428571429,0.9357142857142857
5,0.22917927375861577,0.7464285714285714,0.8821428571428571,0.9285714285714286
6,0.22406265033142908,0.7464285714285714,0.8892857142857142,0.925
7,0.22047393364565712,0.7464285714285714,0.8821428571428571,0.9357142857142857
8,0.21748941838741304,0.7607142857142857,0.8821428571428571,0.9285714285714286
9,0.2138058724147933,0.75,0.8928571428571429,0.9357142857142857
10,0.21198081076145173,0.7464285714285714,0.8892857142857142,0.9428571428571428
