context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20691000702125686,0.7464285714285714,0.8678571428571429,0.9285714285714286
2,0.23128386767847198,0.7571428571428571,0.9142857142857143,0.9571428571428572
3,0.23214658392327173,0.7571428571428571,0.8857142857142857,0.9428571428571428
4,0.2301304253084319,0.7535714285714286,0.8892857142857142,0.9357142857142857
5,0.2297991463116237,0.7464285714285714,0.8785714285714286,0.9285714285714286
6,0.22317045288426535,0.7285714285714285,0.8714285714285714,0.925
7,0.21849715071065084,0.775,0.8964285714285715,0.9392857142857143
8,0.21668477931192942,0.7892857142857143,0.8857142857142857,0.9321428571428572
9,0.21279869271176202,0.7678571428571429,0.8892857142857142,0.9285714285714286
10,0.21291486365454537,0.7392857142857143,0.8821428571428571,0.9357142857142857
