alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.2991749055683613,0.7,0.8642857142857143,0.9214285714285714
0.1,0.2688302932041032,0.7321428571428571,0.875,0.9285714285714286
0.15000000000000002,0.2465453020163945,0.7428571428571429,0.8821428571428571,0.9285714285714286
0.2,0.23233002935137068,0.75,0.8857142857142857,0.9357142857142857
0.25,0.22500635726111276,0.7571428571428571,0.9071428571428571,0.9428571428571428
0.30000000000000004,0.22131719908543995,0.7714285714285715,0.9,0.95
0.35000000000000003,0.22805344026003566,0.7285714285714285,0.85,0.9107142857142857
0.4,0.23738127329519818,0.6857142857142857,0.8357142857142857,0.9071428571428571
0.45,0.24027579884443964,0.7107142857142857,0.8428571428571429,0.9
0.5,0.2535398771720273,0.6285714285714286,0.7821428571428571,0.8535714285714285
