context,cos_dist,top1_acc,top3_acc
1,0.20473660571234567,0.75,0.925
2,0.2301262453198433,0.7571428571428571,0.9571428571428572
3,0.23299972244671413,0.7392857142857143,0.9464285714285714
4,0.2321244212133544,0.7571428571428571,0.9392857142857143
5,0.22810434635196414,0.7464285714285714,0.9285714285714286
6,0.22477681998695645,0.7464285714285714,0.9285714285714286
7,0.22111329564026425,0.7714285714285715,0.9392857142857143
8,0.21661024136202675,0.7678571428571429,0.9321428571428572
9,0.2131528811795371,0.7607142857142857,0.9285714285714286
10,0.2116666549018451,0.7321428571428571,0.9321428571428572
