context,cos_dist,top1_acc,top3_acc
1,0.20566599816083908,0.7392857142857143,0.9357142857142857
2,0.23029831083757538,0.7714285714285715,0.9571428571428572
3,0.2333070661340441,0.7535714285714286,0.9357142857142857
4,0.23128410237176078,0.7714285714285715,0.9357142857142857
5,0.23037305687155044,0.7392857142857143,0.9214285714285714
6,0.2228754975966045,0.7464285714285714,0.9357142857142857
7,0.21983106413057873,0.7607142857142857,0.9321428571428572
8,0.21539175382682255,0.7714285714285715,0.9357142857142857
9,0.2137699489082609,0.7571428571428571,0.9357142857142857
10,0.21171901971101761,0.7535714285714286,0.9321428571428572
